330,0.11
340,0.12
350,0.13
360,0.14
370,0.151
380,0.162
390,0.174
400,0.183
410,0.193
420,0.204
430,0.215
440,0.226
450,0.235
460,0.245
470,0.255
480,0.264
490,0.272
500,0.281
510,0.289
520,0.298
530,0.306
540,0.313
550,0.32
560,0.325
570,0.331
580,0.337
590,0.344
600,0.351
610,0.357
620,0.364
630,0.37
640,0.376
650,0.381
660,0.386
670,0.391
680,0.395
690,0.399
700,0.403
710,0.408
720,0.414
730,0.42
740,0.425
750,0.431
760,0.436
770,0.441
780,0.447
790,0.451
800,0.456
810,0.46
820,0.464
830,0.469
840,0.474
850,0.478
860,0.483
870,0.489
880,0.494
890,0.499
900,0.502
910,0.505
920,0.505
930,0.505
940,0.501
950,0.497
960,0.49
970,0.478
980,0.451
990,0.433
1000,0.415
1010,0.391
1020,0.364
1030,0.336
1040,0.304
1050,0.272
1060,0.225
1070,0.174
1080,0.134
1090,0.085
